ay_g,ax_g,roll_deg,pitch_deg,ground_z_in,worst_order,worst_point,worst_min_z_in,worst_clearance_in,worst_clearance_mm,touches_ground,roll_then_pitch_clearance_in,pitch_then_roll_clearance_in
-2.5,1.9500000000000002,-1.284444243246661,1.3916044918534218,-3.143600000000001,pitch_then_roll,rear_wing_thing,-3.104460069775843,0.03913993022415818,0.9941542276936177,False,0.03952134387774908,0.03913993022415818
-2.5,2.0,-1.284444243246661,1.4272866583112018,-3.143600000000001,pitch_then_roll,rear_wing_thing,-3.1118182244998276,0.03178177550017347,0.8072570977044061,False,0.03218492450430954,0.03178177550017347
-2.4375,-2.0,-1.2523331371654944,-1.4272866583112018,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.6056745347335153,-0.46207453473351423,-11.73669318223126,True,-0.461698457911635,-0.46207453473351423
-2.4375,-1.95,-1.2523331371654944,-1.3916044918534218,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5884961952752827,-0.4448961952752817,-11.300363359992154,True,-0.4445427146690699,-0.4448961952752817
-2.4375,-1.9,-1.2523331371654944,-1.3559223253956416,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.571314825301703,-0.427714825301702,-10.863956562663232,True,-0.4273832643575721,-0.427714825301702
-2.4375,-1.85,-1.2523331371654944,-1.3202401589378618,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5541304314764646,-0.4105304314764635,-10.427472959502172,True,-0.41022011363233535,-0.4105304314764635
-2.4375,-1.8,-1.2523331371654944,-1.2845579924800816,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5369430204644305,-0.3933430204644295,-9.990912719796508,True,-0.39305326914998506,-0.3933430204644295
-2.4375,-1.75,-1.2523331371654944,-1.2488758260223016,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5197525989316403,-0.3761525989316392,-9.554276012863635,True,-0.3758827375685767,-0.3761525989316392
-2.4375,-1.7,-1.2523331371654944,-1.2131936595645216,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.5025591735452966,-0.3589591735452955,-9.117563008050505,True,-0.358708525547601,-0.3589591735452955
-2.4375,-1.65,-1.2523331371654944,-1.1775114931067414,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.485362750973763,-0.34176275097376196,-8.680773874733553,True,-0.34153063974797515,-0.34176275097376196
-2.4375,-1.6,-1.2523331371654944,-1.1418293266489614,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4681633378865757,-0.32456333788657465,-8.243908782318996,True,-0.3243490868320391,-0.32456333788657465
-2.4375,-1.55,-1.2523331371654944,-1.1061471601911814,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.4509609409544217,-0.3073609409544207,-7.8069679002422845,True,-0.30716387346355756,-0.3073609409544207
-2.4375,-1.5,-1.2523331371654944,-1.0704649937334014,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.43375556684915,-0.2901555668491489,-7.369951397968381,True,-0.28997500630771267,-0.2901555668491489
-2.4375,-1.45,-1.2523331371654944,-1.0347828272756212,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.416547222243761,-0.2729472222437601,-6.932859444991506,True,-0.2727824920311024,-0.2729472222437601
-2.4375,-1.4,-1.2523331371654944,-0.9991006608178412,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3993359138124117,-0.2557359138124107,-6.495692210835231,True,-0.25558633730174396,-0.2557359138124107
-2.4375,-1.35,-1.2523331371654944,-0.9634184943600613,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3821216482304037,-0.23852164823040267,-6.058449865052228,True,-0.23838654878906507,-0.23852164823040267
-2.4375,-1.2999999999999998,-1.2523331371654944,-0.9277363279022811,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3649044321741877,-0.2213044321741866,-5.62113257722434,True,-0.22118313316389848,-0.2213044321741866
-2.4375,-1.25,-1.2523331371654944,-0.8920541614445011,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.34768427232136,-0.20408427232135873,-5.183740516962511,True,-0.2039760970984874,-0.20408427232135873
-2.4375,-1.2,-1.2523331371654944,-0.8563719949867211,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.3304611753506568,-0.18686117535065572,-4.746273853906655,True,-0.18676544726648192,-0.18686117535065572
-2.4375,-1.15,-1.2523331371654944,-0.820689828528941,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.313235147941955,-0.16963514794195378,-4.308732757725625,True,-0.16955119034292832,-0.16963514794195378
-2.4375,-1.1,-1.2523331371654944,-0.785007662071161,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.296006196776266,-0.1524061967762651,-3.8711173981171334,True,-0.15233333300427088,-0.1524061967762651
-2.4375,-1.0499999999999998,-1.2523331371654944,-0.7493254956133808,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.2787743285357362,-0.1351743285357352,-3.4334279448076734,True,-0.135111881928359,-0.1351743285357352
-2.4375,-1.0,-1.2523331371654944,-0.7136433291556009,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.261539549903645,-0.11793954990364375,-2.995664567552551,True,-0.11788684379442582,-0.11793954990364375
-2.4375,-0.95,-1.2523331371654944,-0.6779611626978208,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.244301867564397,-0.10070186756439581,-2.5578274361356534,True,-0.10065822528310253,-0.10070186756439581
-2.4375,-0.8999999999999999,-1.2523331371654944,-0.6422789962400408,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.2270612882035254,-0.08346128820352439,-2.1199167203695195,True,-0.08342603307640584,-0.08346128820352439
-2.4375,-0.8499999999999999,-1.2523331371654944,-0.6065968297822607,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.209817818507686,-0.06621781850768516,-1.681932590095203,True,-0.06619027385773979,-0.06621781850768516
-2.4375,-0.7999999999999998,-1.2523331371654944,-0.5709146633244806,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.1925714651646593,-0.04897146516465822,-1.2438752151823187,True,-0.048950954311892225,-0.04897146516465822
-2.4375,-0.75,-1.2523331371654944,-0.5352324968667007,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.1753222348633394,-0.03172223486333836,-0.8057447655287944,True,-0.03170808112502588,-0.03172223486333836
-2.4375,-0.7,-1.2523331371654944,-0.4995503304089206,-3.143600000000001,pitch_then_roll,front_wing_mirror,-3.158070134293736,-0.014470134293735004,-0.36754141106086907,True,-0.014461660984692593,-0.014470134293735004
