Fz,sr,sa_deg,Fx,Fy
200,-0.245,5.400000000000002,-4.602910652835263,17.008492107242013
200,-0.245,5.600000000000001,-4.603747193354936,17.087901382300586
200,-0.245,5.800000000000001,-4.602507115097848,17.167303331144055
200,-0.245,6.0,-4.599196139041061,17.24669769646733
200,-0.245,6.199999999999999,-4.593829506133476,17.32608422129853
200,-0.245,6.400000000000002,-4.5864318149199805,17.405462649002235
200,-0.245,6.600000000000001,-4.577036760386685,17.48483272328278
200,-0.245,6.800000000000001,-4.565686778131131,17.564194188187482
200,-0.245,7.0,-4.552432599493397,17.643546788109923
200,-0.245,7.200000000000003,-4.537332724756038,17.722890267793165
200,-0.245,7.400000000000002,-4.520452822900546,17.802224372332983
200,-0.245,7.600000000000001,-4.501865067656268,17.881548847181087
200,-0.245,7.800000000000001,-4.481647420651167,17.96086343814834
200,-0.245,8.0,-4.459882873328027,18.04016789140794
200,-0.245,8.200000000000003,-4.436658659884233,18.119461953498615
200,-0.245,8.400000000000002,-4.412065453795598,18.1987453713278
200,-0.245,8.600000000000001,-4.386196560473733,18.278017892174812
200,-0.245,8.8,-4.359147118276339,18.357279263694004
200,-0.245,9.0,-4.331013319449493,18.43652923391789
200,-0.245,9.200000000000003,-4.301891661656236,18.515767551260325
200,-0.245,9.400000000000002,-4.271878239575345,18.594993964519585
200,-0.245,9.600000000000001,-4.241068084688512,18.67420822288151
200,-0.245,9.8,-4.209554559871334,18.75341007592258
200,-0.245,10.0,-4.177428813824594,18.832599273613045
200,-0.245,10.200000000000003,-4.144779298788395,18.911775566319967
200,-0.245,10.400000000000002,-4.111691353429457,18.990938704810315
200,-0.245,10.600000000000001,-4.078246851331077,19.070088440253997
200,-0.245,10.8,-4.044523914186554,19.14922452422695
200,-0.245,11.0,-4.010596687630653,19.228346708714117
200,-0.245,11.200000000000003,-3.9765351766598935,19.30745474611252
200,-0.245,11.400000000000002,-3.942405136800399,19.386548389234246
200,-0.245,11.600000000000001,-3.9082680165826056,19.46562739130946
200,-0.245,11.8,-3.874180946467554,19.54469150598936
200,-0.245,12.0,-3.8401967691265395,19.623740487349206
200,-0.24,-12.0,-2.541590226052928,10.253930354109345
200,-0.24,-11.8,-2.5545671124366347,10.334153521395844
200,-0.24,-11.6,-2.5677926771386805,10.41439287211795
200,-0.24,-11.4,-2.5812730053650257,10.494648129221263
200,-0.24,-11.2,-2.595014328152267,10.574919015675848
200,-0.24,-11.0,-2.609023023033214,10.655205254479956
200,-0.24,-10.8,-2.6233056142925055,10.735506568663766
200,-0.24,-10.6,-2.6378687727541634,10.815822681293112
200,-0.24,-10.4,-2.6527193150367894,10.896153315473212
200,-0.24,-10.2,-2.6678642022052417,10.976498194352407
200,-0.24,-10.0,-2.683310537740238,11.056857041125888
200,-0.24,-9.8,-2.699065564739192,11.137229579039438
200,-0.24,-9.6,-2.7151366622527977,11.217615531393154
200,-0.24,-9.4,-2.7315313406522814,11.298014621545182
200,-0.24,-9.2,-2.748257235911923,11.378426572915451
200,-0.24,-9.0,-2.7653221026801864,11.458851108989409
200,-0.24,-8.8,-2.782733806000776,11.539287953321749
200,-0.24,-8.6,-2.800500311531933,11.619736829540134
200,-0.24,-8.4,-2.818629674098376,11.700197461348932
200,-0.24,-8.2,-2.8371300243954636,11.780669572532952
